,,Frequency_Substation_01,Frequency_Substation_02,Frequency_Substation_03,Frequency_Substation_04,Frequency_Substation_05,Frequency_Substation_06,Frequency_Substation_07,Frequency_Substation_08,Frequency_Substation_09,Frequency_Substation_10
17,Frequency_Substation_02,,,,,,,,,,
17,Frequency_Substation_03,,,,,,,,,,
17,Frequency_Substation_04,,,,,,,,,,
17,Frequency_Substation_05,,,,,,,,,,
17,Frequency_Substation_06,,,,,,,,,,
17,Frequency_Substation_07,,,,,,,,,,
17,Frequency_Substation_08,,,,,,,,,,
17,Frequency_Substation_09,,,,,,,,,,
17,Frequency_Substation_10,,,,,,,,,,
18,Frequency_Substation_01,,,,,,,,,,
18,Frequency_Substation_02,,,,,,,,,,
18,Frequency_Substation_03,,,,,,,,,,
18,Frequency_Substation_04,,,,,,,,,,
18,Frequency_Substation_05,,,,,,,,,,
18,Frequency_Substation_06,,,,,,,,,,
18,Frequency_Substation_07,,,,,,,,,,
18,Frequency_Substation_08,,,,,,,,,,
18,Frequency_Substation_09,,,,,,,,,,
18,Frequency_Substation_10,,,,,,,,,,
19,Frequency_Substation_01,,,,,,,,,,
19,Frequency_Substation_02,,,,,,,,,,
19,Frequency_Substation_03,,,,,,,,,,
19,Frequency_Substation_04,,,,,,,,,,
19,Frequency_Substation_05,,,,,,,,,,
19,Frequency_Substation_06,,,,,,,,,,
19,Frequency_Substation_07,,,,,,,,,,
19,Frequency_Substation_08,,,,,,,,,,
19,Frequency_Substation_09,,,,,,,,,,
19,Frequency_Substation_10,,,,,,,,,,
20,Frequency_Substation_01,,,,,,,,,,
20,Frequency_Substation_02,,,,,,,,,,
20,Frequency_Substation_03,,,,,,,,,,
20,Frequency_Substation_04,,,,,,,,,,
20,Frequency_Substation_05,,,,,,,,,,
20,Frequency_Substation_06,,,,,,,,,,
20,Frequency_Substation_07,,,,,,,,,,
20,Frequency_Substation_08,,,,,,,,,,
20,Frequency_Substation_09,,,,,,,,,,
20,Frequency_Substation_10,,,,,,,,,,
21,Frequency_Substation_01,,,,,,,,,,
21,Frequency_Substation_02,,,,,,,,,,
21,Frequency_Substation_03,,,,,,,,,,
21,Frequency_Substation_04,,,,,,,,,,
21,Frequency_Substation_05,,,,,,,,,,
21,Frequency_Substation_06,,,,,,,,,,
21,Frequency_Substation_07,,,,,,,,,,
21,Frequency_Substation_08,,,,,,,,,,
21,Frequency_Substation_09,,,,,,,,,,
21,Frequency_Substation_10,,,,,,,,,,
22,Frequency_Substation_01,,,,,,,,,,
22,Frequency_Substation_02,,,,,,,,,,
22,Frequency_Substation_03,,,,,,,,,,
22,Frequency_Substation_04,,,,,,,,,,
22,Frequency_Substation_05,,,,,,,,,,
22,Frequency_Substation_06,,,,,,,,,,
22,Frequency_Substation_07,,,,,,,,,,
22,Frequency_Substation_08,,,,,,,,,,
22,Frequency_Substation_09,,,,,,,,,,
22,Frequency_Substation_10,,,,,,,,,,
23,Frequency_Substation_01,,,,,,,,,,
23,Frequency_Substation_02,,,,,,,,,,
23,Frequency_Substation_03,,,,,,,,,,
23,Frequency_Substation_04,,,,,,,,,,
23,Frequency_Substation_05,,,,,,,,,,
23,Frequency_Substation_06,,,,,,,,,,
23,Frequency_Substation_07,,,,,,,,,,
23,Frequency_Substation_08,,,,,,,,,,
23,Frequency_Substation_09,,,,,,,,,,
23,Frequency_Substation_10,,,,,,,,,,
24,Frequency_Substation_01,,,,,,,,,,
24,Frequency_Substation_02,,,,,,,,,,
24,Frequency_Substation_03,,,,,,,,,,
24,Frequency_Substation_04,,,,,,,,,,
24,Frequency_Substation_05,,,,,,,,,,
24,Frequency_Substation_06,,,,,,,,,,
24,Frequency_Substation_07,,,,,,,,,,
24,Frequency_Substation_08,,,,,,,,,,
24,Frequency_Substation_09,,,,,,,,,,
24,Frequency_Substation_10,,,,,,,,,,
25,Frequency_Substation_01,,,,,,,,,,
25,Frequency_Substation_02,,,,,,,,,,
25,Frequency_Substation_03,,,,,,,,,,
25,Frequency_Substation_04,,,,,,,,,,
25,Frequency_Substation_05,,,,,,,,,,
25,Frequency_Substation_06,,,,,,,,,,
25,Frequency_Substation_07,,,,,,,,,,
25,Frequency_Substation_08,,,,,,,,,,
25,Frequency_Substation_09,,,,,,,,,,
25,Frequency_Substation_10,,,,,,,,,,
26,Frequency_Substation_01,,,,,,,,,,
26,Frequency_Substation_02,,,,,,,,,,
26,Frequency_Substation_03,,,,,,,,,,
26,Frequency_Substation_04,,,,,,,,,,
26,Frequency_Substation_05,,,,,,,,,,
26,Frequency_Substation_06,,,,,,,,,,
26,Frequency_Substation_07,,,,,,,,,,
26,Frequency_Substation_08,,,,,,,,,,
26,Frequency_Substation_09,,,,,,,,,,
26,Frequency_Substation_10,,,,,,,,,,
27,Frequency_Substation_01,,,,,,,,,,
27,Frequency_Substation_02,,,,,,,,,,
27,Frequency_Substation_03,,,,,,,,,,
27,Frequency_Substation_04,,,,,,,,,,
27,Frequency_Substation_05,,,,,,,,,,
27,Frequency_Substation_06,,,,,,,,,,
27,Frequency_Substation_07,,,,,,,,,,
27,Frequency_Substation_08,,,,,,,,,,
27,Frequency_Substation_09,,,,,,,,,,
27,Frequency_Substation_10,,,,,,,,,,
28,Frequency_Substation_01,,,,,,,,,,
28,Frequency_Substation_02,,,,,,,,,,
28,Frequency_Substation_03,,,,,,,,,,
28,Frequency_Substation_04,,,,,,,,,,
28,Frequency_Substation_05,,,,,,,,,,
28,Frequency_Substation_06,,,,,,,,,,
28,Frequency_Substation_07,,,,,,,,,,
28,Frequency_Substation_08,,,,,,,,,,
28,Frequency_Substation_09,,,,,,,,,,
28,Frequency_Substation_10,,,,,,,,,,
29,Frequency_Substation_01,,,,,,,,,,
29,Frequency_Substation_02,,,,,,,,,,
29,Frequency_Substation_03,,,,,,,,,,
29,Frequency_Substation_04,,,,,,,,,,
29,Frequency_Substation_05,,,,,,,,,,
29,Frequency_Substation_06,,,,,,,,,,
29,Frequency_Substation_07,,,,,,,,,,
29,Frequency_Substation_08,,,,,,,,,,
29,Frequency_Substation_09,,,,,,,,,,
29,Frequency_Substation_10,,,,,,,,,,
30,Frequency_Substation_01,,,,,,,,,,
30,Frequency_Substation_02,,,,,,,,,,
30,Frequency_Substation_03,,,,,,,,,,
30,Frequency_Substation_04,,,,,,,,,,
30,Frequency_Substation_05,,,,,,,,,,
30,Frequency_Substation_06,,,,,,,,,,
30,Frequency_Substation_07,,,,,,,,,,
30,Frequency_Substation_08,,,,,,,,,,
30,Frequency_Substation_09,,,,,,,,,,
30,Frequency_Substation_10,,,,,,,,,,
31,Frequency_Substation_01,,,,,,,,,,
31,Frequency_Substation_02,,,,,,,,,,
31,Frequency_Substation_03,,,,,,,,,,
31,Frequency_Substation_04,,,,,,,,,,
31,Frequency_Substation_05,,,,,,,,,,
31,Frequency_Substation_06,,,,,,,,,,
31,Frequency_Substation_07,,,,,,,,,,
31,Frequency_Substation_08,,,,,,,,,,
31,Frequency_Substation_09,,,,,,,,,,
31,Frequency_Substation_10,,,,,,,,,,
32,Frequency_Substation_01,,,,,,,,,,
32,Frequency_Substation_02,,,,,,,,,,
32,Frequency_Substation_03,,,,,,,,,,
32,Frequency_Substation_04,,,,,,,,,,
32,Frequency_Substation_05,,,,,,,,,,
32,Frequency_Substation_06,,,,,,,,,,
32,Frequency_Substation_07,,,,,,,,,,
32,Frequency_Substation_08,,,,,,,,,,
32,Frequency_Substation_09,,,,,,,,,,
32,Frequency_Substation_10,,,,,,,,,,
33,Frequency_Substation_01,,,,,,,,,,
33,Frequency_Substation_02,,,,,,,,,,
33,Frequency_Substation_03,,,,,,,,,,
33,Frequency_Substation_04,,,,,,,,,,
33,Frequency_Substation_05,,,,,,,,,,
33,Frequency_Substation_06,,,,,,,,,,
33,Frequency_Substation_07,,,,,,,,,,
33,Frequency_Substation_08,,,,,,,,,,
33,Frequency_Substation_09,,,,,,,,,,
33,Frequency_Substation_10,,,,,,,,,,
34,Frequency_Substation_01,,,,,,,,,,
34,Frequency_Substation_02,,,,,,,,,,
34,Frequency_Substation_03,,,,,,,,,,
34,Frequency_Substation_04,,,,,,,,,,
34,Frequency_Substation_05,,,,,,,,,,
34,Frequency_Substation_06,,,,,,,,,,
34,Frequency_Substation_07,,,,,,,,,,
34,Frequency_Substation_08,,,,,,,,,,
34,Frequency_Substation_09,,,,,,,,,,
34,Frequency_Substation_10,,,,,,,,,,
35,Frequency_Substation_01,,,,,,,,,,
35,Frequency_Substation_02,,,,,,,,,,
35,Frequency_Substation_03,,,,,,,,,,
35,Frequency_Substation_04,,,,,,,,,,
35,Frequency_Substation_05,,,,,,,,,,
35,Frequency_Substation_06,,,,,,,,,,
35,Frequency_Substation_07,,,,,,,,,,
35,Frequency_Substation_08,,,,,,,,,,
35,Frequency_Substation_09,,,,,,,,,,
35,Frequency_Substation_10,,,,,,,,,,
36,Frequency_Substation_01,,,,,,,,,,
36,Frequency_Substation_02,,,,,,,,,,
36,Frequency_Substation_03,,,,,,,,,,
36,Frequency_Substation_04,,,,,,,,,,
36,Frequency_Substation_05,,,,,,,,,,
36,Frequency_Substation_06,,,,,,,,,,
36,Frequency_Substation_07,,,,,,,,,,
36,Frequency_Substation_08,,,,,,,,,,
36,Frequency_Substation_09,,,,,,,,,,
36,Frequency_Substation_10,,,,,,,,,,
37,Frequency_Substation_01,,,,,,,,,,
37,Frequency_Substation_02,,,,,,,,,,
37,Frequency_Substation_03,,,,,,,,,,
37,Frequency_Substation_04,,,,,,,,,,
37,Frequency_Substation_05,,,,,,,,,,
37,Frequency_Substation_06,,,,,,,,,,
37,Frequency_Substation_07,,,,,,,,,,
37,Frequency_Substation_08,,,,,,,,,,
37,Frequency_Substation_09,,,,,,,,,,
37,Frequency_Substation_10,,,,,,,,,,
38,Frequency_Substation_01,,,,,,,,,,
38,Frequency_Substation_02,,,,,,,,,,
38,Frequency_Substation_03,,,,,,,,,,
38,Frequency_Substation_04,,,,,,,,,,
38,Frequency_Substation_05,,,,,,,,,,
38,Frequency_Substation_06,,,,,,,,,,
38,Frequency_Substation_07,,,,,,,,,,
38,Frequency_Substation_08,,,,,,,,,,
38,Frequency_Substation_09,,,,,,,,,,
38,Frequency_Substation_10,,,,,,,,,,
39,Frequency_Substation_01,,,,,,,,,,
39,Frequency_Substation_02,,,,,,,,,,
39,Frequency_Substation_03,,,,,,,,,,
39,Frequency_Substation_04,,,,,,,,,,
39,Frequency_Substation_05,,,,,,,,,,
39,Frequency_Substation_06,,,,,,,,,,
39,Frequency_Substation_07,,,,,,,,,,
39,Frequency_Substation_08,,,,,,,,,,
39,Frequency_Substation_09,,,,,,,,,,
39,Frequency_Substation_10,,,,,,,,,,
40,Frequency_Substation_01,,,,,,,,,,
40,Frequency_Substation_02,,,,,,,,,,
40,Frequency_Substation_03,,,,,,,,,,
40,Frequency_Substation_04,,,,,,,,,,
40,Frequency_Substation_05,,,,,,,,,,
40,Frequency_Substation_06,,,,,,,,,,
40,Frequency_Substation_07,,,,,,,,,,
40,Frequency_Substation_08,,,,,,,,,,
40,Frequency_Substation_09,,,,,,,,,,
40,Frequency_Substation_10,,,,,,,,,,
41,Frequency_Substation_01,,,,,,,,,,
41,Frequency_Substation_02,,,,,,,,,,
41,Frequency_Substation_03,,,,,,,,,,
41,Frequency_Substation_04,,,,,,,,,,
41,Frequency_Substation_05,,,,,,,,,,
41,Frequency_Substation_06,,,,,,,,,,
41,Frequency_Substation_07,,,,,,,,,,
41,Frequency_Substation_08,,,,,,,,,,
41,Frequency_Substation_09,,,,,,,,,,
41,Frequency_Substation_10,,,,,,,,,,
42,Frequency_Substation_01,,,,,,,,,,
42,Frequency_Substation_02,,,,,,,,,,
42,Frequency_Substation_03,,,,,,,,,,
42,Frequency_Substation_04,,,,,,,,,,
42,Frequency_Substation_05,,,,,,,,,,
42,Frequency_Substation_06,,,,,,,,,,
42,Frequency_Substation_07,,,,,,,,,,
42,Frequency_Substation_08,,,,,,,,,,
42,Frequency_Substation_09,,,,,,,,,,
42,Frequency_Substation_10,,,,,,,,,,
43,Frequency_Substation_01,,,,,,,,,,
43,Frequency_Substation_02,,,,,,,,,,
43,Frequency_Substation_03,,,,,,,,,,
43,Frequency_Substation_04,,,,,,,,,,
43,Frequency_Substation_05,,,,,,,,,,
43,Frequency_Substation_06,,,,,,,,,,
43,Frequency_Substation_07,,,,,,,,,,
43,Frequency_Substation_08,,,,,,,,,,
43,Frequency_Substation_09,,,,,,,,,,
43,Frequency_Substation_10,,,,,,,,,,
44,Frequency_Substation_01,,,,,,,,,,
44,Frequency_Substation_02,,,,,,,,,,
44,Frequency_Substation_03,,,,,,,,,,
44,Frequency_Substation_04,,,,,,,,,,
44,Frequency_Substation_05,,,,,,,,,,
44,Frequency_Substation_06,,,,,,,,,,
44,Frequency_Substation_07,,,,,,,,,,
44,Frequency_Substation_08,,,,,,,,,,
44,Frequency_Substation_09,,,,,,,,,,
44,Frequency_Substation_10,,,,,,,,,,
45,Frequency_Substation_01,,,,,,,,,,
45,Frequency_Substation_02,,,,,,,,,,
45,Frequency_Substation_03,,,,,,,,,,
45,Frequency_Substation_04,,,,,,,,,,
45,Frequency_Substation_05,,,,,,,,,,
45,Frequency_Substation_06,,,,,,,,,,
45,Frequency_Substation_07,,,,,,,,,,
45,Frequency_Substation_08,,,,,,,,,,
45,Frequency_Substation_09,,,,,,,,,,
45,Frequency_Substation_10,,,,,,,,,,
46,Frequency_Substation_01,,,,,,,,,,
46,Frequency_Substation_02,,,,,,,,,,
46,Frequency_Substation_03,,,,,,,,,,
46,Frequency_Substation_04,,,,,,,,,,
46,Frequency_Substation_05,,,,,,,,,,
46,Frequency_Substation_06,,,,,,,,,,
46,Frequency_Substation_07,,,,,,,,,,
46,Frequency_Substation_08,,,,,,,,,,
46,Frequency_Substation_09,,,,,,,,,,
46,Frequency_Substation_10,,,,,,,,,,
47,Frequency_Substation_01,,,,,,,,,,
47,Frequency_Substation_02,,,,,,,,,,
47,Frequency_Substation_03,,,,,,,,,,
47,Frequency_Substation_04,,,,,,,,,,
47,Frequency_Substation_05,,,,,,,,,,
47,Frequency_Substation_06,,,,,,,,,,
47,Frequency_Substation_07,,,,,,,,,,
47,Frequency_Substation_08,,,,,,,,,,
47,Frequency_Substation_09,,,,,,,,,,
47,Frequency_Substation_10,,,,,,,,,,
48,Frequency_Substation_01,,,,,,,,,,
48,Frequency_Substation_02,,,,,,,,,,
48,Frequency_Substation_03,,,,,,,,,,
48,Frequency_Substation_04,,,,,,,,,,
48,Frequency_Substation_05,,,,,,,,,,
48,Frequency_Substation_06,,,,,,,,,,
48,Frequency_Substation_07,,,,,,,,,,
48,Frequency_Substation_08,,,,,,,,,,
48,Frequency_Substation_09,,,,,,,,,,
48,Frequency_Substation_10,,,,,,,,,,
49,Frequency_Substation_01,1.0000000217690534,0.3296730333343995,-0.14074278091891124,0.06280236229404583,-0.1525572778109782,-0.15389580147822748,0.2298461729534039,-0.3149750426312321,-0.1114121469278278,0.019659454517625314
49,Frequency_Substation_02,0.3296730333343995,0.9999999907480269,-0.15717327935227385,-0.033473827781431716,-0.10599151796199928,-0.0015752810015954664,0.09113869752378839,-0.2658058233509577,0.010597150440915878,-0.06612454197406477
49,Frequency_Substation_03,-0.14074278091891124,-0.15717327935227385,1.0000000017228294,0.1920579486510914,0.2268937688706714,-0.02789099726873234,-0.1367824594134062,0.12140381206104803,-0.039935384314066874,0.17985267645031944
49,Frequency_Substation_04,0.06280236229404583,-0.033473827781431716,0.1920579486510914,0.9999999962386255,0.08311672269079687,-0.08659584147973569,0.11681179783547474,-0.19801623395176746,-0.08648792571761242,0.06802912993765908
49,Frequency_Substation_05,-0.1525572778109782,-0.10599151796199928,0.2268937688706714,0.08311672269079687,0.9999999668301274,0.040311468076869424,0.13052201811728575,0.09982812563966025,-0.0728015874185343,0.09193209690274795
49,Frequency_Substation_06,-0.15389580147822748,-0.0015752810015954664,-0.02789099726873234,-0.08659584147973569,0.040311468076869424,0.9999999799032567,-0.06310270223706808,-0.060570622066783264,0.009689586115895555,-0.18118761174430384
49,Frequency_Substation_07,0.2298461729534039,0.09113869752378839,-0.1367824594134062,0.11681179783547474,0.13052201811728575,-0.06310270223706808,0.9999999632404529,-0.008761211450644612,0.05868864378485905,0.01377374225947658
49,Frequency_Substation_08,-0.3149750426312321,-0.2658058233509577,0.12140381206104803,-0.19801623395176746,0.09982812563966025,-0.060570622066783264,-0.008761211450644612,1.0000000092739607,0.05793334004880429,0.20493126719349122
49,Frequency_Substation_09,-0.1114121469278278,0.010597150440915878,-0.039935384314066874,-0.08648792571761242,-0.0728015874185343,0.009689586115895555,0.05868864378485905,0.05793334004880429,1.0000000172118502,-0.18052304406597483
49,Frequency_Substation_10,0.019659454517625314,-0.06612454197406477,0.17985267645031944,0.06802912993765908,0.09193209690274795,-0.18118761174430384,0.01377374225947658,0.20493126719349122,-0.18052304406597483,0.9999999975333491
50,Frequency_Substation_01,1.0000000021362596,0.34031660506425415,-0.17292496391363027,0.04874909430974722,-0.14824595747926567,-0.14747582288422362,0.20783999993240754,-0.2891797107417674,-0.1294456629513466,0.0375912847721366
50,Frequency_Substation_02,0.34031660506425415,1.0000000500925583,-0.14840746919118827,-0.011519736907366612,-0.0874781080769106,-0.007464862404062837,0.08897855886900621,-0.279435113564212,0.060991731351852936,-0.10293647275841869
50,Frequency_Substation_03,-0.17292496391363027,-0.14840746919118827,0.9999999834794397,0.17520156470299064,0.1886875276368122,-0.025034993434211093,-0.10775200049022249,0.10849217155837808,-0.10555700427865913,0.2150827610136635
50,Frequency_Substation_04,0.04874909430974722,-0.011519736907366612,0.17520156470299064,0.9999999897613217,0.05458749739373845,-0.07818639297515059,0.11815553719446747,-0.17970729582032502,-0.17434942756996566,0.1281163848187679
50,Frequency_Substation_05,-0.14824595747926567,-0.0874781080769106,0.1886875276368122,0.05458749739373845,0.9999999638694019,0.04989980445379218,0.1162362030430535,0.12985768860204436,-0.12712590109338304,0.13761293852992368
50,Frequency_Substation_06,-0.14747582288422362,-0.007464862404062837,-0.025034993434211093,-0.07818639297515059,0.04989980445379218,1.000000020953007,-0.06406228043709214,-0.06547144932596467,0.03302296319406389,-0.20376766188793025
50,Frequency_Substation_07,0.20783999993240754,0.08897855886900621,-0.10775200049022249,0.11815553719446747,0.1162362030430535,-0.06406228043709214,1.0000000901985575,-0.022208769598570606,0.04504152961573032,0.017815406743324696
50,Frequency_Substation_08,-0.2891797107417674,-0.279435113564212,0.10849217155837808,-0.17970729582032502,0.12985768860204436,-0.06547144932596467,-0.022208769598570606,0.999999984735973,0.12283607853910056,0.17769064624761735
50,Frequency_Substation_09,-0.1294456629513466,0.060991731351852936,-0.10555700427865913,-0.17434942756996566,-0.12712590109338304,0.03302296319406389,0.04504152961573032,0.12283607853910056,0.9999999575535202,-0.08846802567395445
50,Frequency_Substation_10,0.0375912847721366,-0.10293647275841869,0.2150827610136635,0.1281163848187679,0.13761293852992368,-0.20376766188793025,0.017815406743324696,0.17769064624761735,-0.08846802567395445,0.9999999936174458
51,Frequency_Substation_01,0.9999999625180037,0.2784910116656807,-0.17576686132920938,0.006594178763859058,-0.13120010379204897,-0.12686533361581345,0.1857261161627816,-0.2867466066411675,-0.12431014234954575,0.05807318303994549
51,Frequency_Substation_02,0.2784910116656807,0.9999999704356533,-0.13851067377037166,0.08557567051701824,-0.12286215968355907,-0.052652732131617454,0.13121120257663746,-0.26434917007984754,0.0425395040600292,-0.13352006938191824
51,Frequency_Substation_03,-0.17576686132920938,-0.13851067377037166,1.0000000199897288,0.14870043852787676,0.187116519477447,-0.016215571465417904,-0.11203025664640218,0.12181430432237476,-0.1117708146026603,0.257854548612263
